"artist","song","years_old_13","years_old_12","years_old_11","years_old_10","years_old_9","years_old_8","years_old_7","years_old_6","years_old_5","years_old_4","years_old_3","years_old_2","years_old_1","years_old_0","years_pre_birth_1","years_pre_birth_2","years_pre_birth_3","years_pre_birth_4","years_pre_birth_5","years_pre_birth_6","years_pre_birth_7","years_pre_birth_8","years_pre_birth_9","years_pre_birth_10"
"Billy Idol","Cradle Of Love",0.563186813186813,0.53125,0.547619047619048,0.342857142857143,0.291666666666667,0.204081632653061,0.215686274509804,0.169811320754717,0.127272727272727,0.1,0.0943396226415094,0.140350877192982,0.131147540983607,0.0869565217391304,0.0204081632653061,0.0769230769230769,0.109375,0.0576923076923077,0.102564102564103,0.0384615384615385,0.0196078431372549,0.0645161290322581,0.142857142857143,0.130434782608696
"Billy Joel","The River Of Dreams",0.925653594771242,0.794871794871795,0.807017543859649,0.797101449275362,0.759259259259259,0.613333333333333,0.6,0.532467532467532,0.592592592592593,0.483870967741935,0.467741935483871,0.452830188679245,0.290909090909091,0.3125,0.136363636363636,0.241379310344828,0.27906976744186,0.25,0.146341463414634,0.0789473684210526,0.153846153846154,0,0,0
"Billy Ray Cyrus","Achy Breaky Heart",0.96875,0.86046511627907,0.926829268292683,0.927536231884058,0.939393939393939,0.873015873015873,0.939393939393939,0.870967741935484,0.873015873015873,0.883116883116883,0.838235294117647,0.75,0.666666666666667,0.770491803278688,0.783333333333333,0.673469387755102,0.684210526315789,0.634615384615385,0.717391304347826,0.48,0.5,0.357142857142857,0,0
"Bobby Brown","Humpin' Around",0.729914712406439,0.761904761904762,0.555555555555556,0.520833333333333,0.527272727272727,0.382978723404255,0.371428571428571,0.410958904109589,0.324675324675325,0.22,0.246575342465753,0.242424242424242,0.258064516129032,0.22,0.204545454545455,0.283018867924528,0.155555555555556,0.0208333333333333,0.075,0.254901960784314,0.233333333333333,0.142857142857143,0,0
"Bon Jovi","Always",0.741261261261261,0.725490196078431,0.698412698412698,0.576271186440678,0.566666666666667,0.525423728813559,0.587301587301587,0.575757575757576,0.517241379310345,0.46875,0.483333333333333,0.433333333333333,0.36,0.410714285714286,0.428571428571429,0.340909090909091,0.28,0.342857142857143,0.243243243243243,0.333333333333333,0,0,0,0
"Bone Thugs N Harmony","Look Into My Eyes",0.196785635810026,0.303571428571429,0.0735294117647059,0.0714285714285714,0.0923076923076923,0.0746268656716418,0.0843373493975904,0.0327868852459016,0,0.0535714285714286,0,0.0487804878048781,0,0.0212765957446809,0.0526315789473684,0.0789473684210526,0,0,0,0,0,0,0,0
"Bone Thugs N Harmony","Tha Crossroads",0.594969342251951,0.650793650793651,0.618181818181818,0.474576271186441,0.333333333333333,0.309090909090909,0.410714285714286,0.24,0.228571428571429,0.235294117647059,0.113207547169811,0.12,0.12,0.0576923076923077,0.173913043478261,0.166666666666667,0.037037037037037,0.0277777777777778,0,0,0,0,0,0
"Boyz II Men","4 Seasons Of Loneliness",0.280143941634625,0.328571428571429,0.142857142857143,0.0769230769230769,0.222222222222222,0.127272727272727,0.146341463414634,0.032258064516129,0.0816326530612245,0.0483870967741935,0.0444444444444444,0.0465116279069767,0.0175438596491228,0.0697674418604651,0.0540540540540541,0.107142857142857,0.1,0,0,0,0,0,0,0
"Boyz II Men","End Of The Road",0.810364992942125,0.773584905660377,0.875,0.716981132075472,0.796296296296296,0.654545454545455,0.769230769230769,0.515625,0.466666666666667,0.518072289156627,0.464285714285714,0.338709677419355,0.306451612903226,0.232558139534884,0.217391304347826,0.285714285714286,0.26530612244898,0.26,0.135135135135135,0.111111111111111,0.173913043478261,0.222222222222222,0,0
"Boyz II Men","I'll Make Love To You",0.669258832565284,0.666666666666667,0.666666666666667,0.563636363636364,0.609375,0.524590163934426,0.46875,0.339622641509434,0.30188679245283,0.308823529411765,0.202898550724638,0.173076923076923,0.160714285714286,0.122448979591837,0.0851063829787234,0.24,0.166666666666667,0.121212121212121,0.0625,0.161290322580645,0,0,0,0
